t,x,v
7.2156,1.32291,-0.167522
7.26936,1.3138,-0.171205
7.32327,1.30447,-0.175146
7.37734,1.29489,-0.179376
7.43159,1.28503,-0.183932
7.48603,1.27489,-0.188855
7.54069,1.26442,-0.194195
7.59558,1.2536,-0.200012
7.65072,1.2424,-0.206378
7.70614,1.23077,-0.213378
7.76185,1.21867,-0.221118
7.81788,1.20605,-0.229727
7.87424,1.19283,-0.239364
7.93093,1.17896,-0.250227
7.98794,1.16435,-0.262561
8.04522,1.14892,-0.276674
8.10266,1.13257,-0.292945
8.16012,1.11521,-0.311841
8.21733,1.09675,-0.333927
8.27396,1.07713,-0.359873
8.32958,1.05629,-0.390472
8.38379,1.03418,-0.426672
8.43624,1.0107,-0.469654
8.48678,0.985721,-0.520989
8.53542,0.958933,-0.582899
8.58242,0.929826,-0.658758
8.62836,0.897465,-0.754199
8.67454,0.859857,-0.880487
8.71269,0.823765,-1.01773
8.74675,0.786514,-1.17616
8.77731,0.747907,-1.35839
8.80481,0.707788,-1.56702
8.82934,0.666588,-1.80128
8.85157,0.623703,-2.06592
8.87392,0.573957,-2.39829
8.89428,0.52141,-2.77719
8.91293,0.465764,-3.20715
8.93015,0.406481,-3.69457
8.94607,0.343437,-4.24214
8.96078,0.276675,-4.8499
8.97446,0.205876,-5.5197
8.98727,0.130609,-6.25287
8.99937,0.0502402,-7.05066
9.01097,-0.0365232,-7.9178
9.02296,-0.137296,-8.91603
9.03501,-0.251268,-10.0092
9.04588,-0.365665,-11.0397
9.05643,-0.487327,-12.029
9.06726,-0.622814,-12.9584
9.07727,-0.756204,-13.6492
9.08734,-0.895992,-14.0826
9.09648,-1.02541,-14.1717
9.10516,-1.14763,-13.9401
9.11365,-1.2639,-13.4008
9.12215,-1.37451,-12.5697
9.13105,-1.48146,-11.4445
9.1396,-1.57409,-10.1951
9.14821,-1.65613,-8.86091
9.15638,-1.72337,-7.59939
9.16488,-1.78259,-6.35676
9.17318,-1.83069,-5.25269
9.18021,-1.86464,-4.42032
9.18729,-1.89327,-3.68246
9.19374,-1.91508,-3.0973
9.19979,-1.93234,-2.6196
9.20557,-1.94632,-2.22232
9.21117,-1.95781,-1.88859
9.21663,-1.96732,-1.60653
9.22197,-1.97525,-1.36714
9.22722,-1.98189,-1.1634
9.2324,-1.98745,-0.989611
9.23752,-1.99212,-0.841142
9.24258,-1.99605,-0.714143
9.24759,-1.99935,-0.605403
9.25256,-2.00212,-0.512225
9.25749,-2.00445,-0.432332
9.26238,-2.00639,-0.363798
9.26724,-2.00801,-0.304985
9.27206,-2.00936,-0.2545
9.27683,-2.01047,-0.211156
9.28157,-2.01138,-0.17394
9.28626,-2.01212,-0.141987
9.2909,-2.01271,-0.114556
9.29548,-2.01318,-0.0910153
9.29999,-2.01354,-0.0708259
9.30441,-2.01382,-0.0535279
9.30874,-2.01402,-0.0387312
9.31295,-2.01415,-0.026108
9.317,-2.01423,-0.0153883
9.32085,-2.01428,-0.0063617
9.32396,-2.01429,0.000195571
9.32707,-2.01428,0.00615551
9.33023,-2.01425,0.0116439
9.33383,-2.01419,0.0172983
9.33778,-2.01412,0.022831
9.34205,-2.01401,0.0280924
9.34659,-2.01387,0.0329977
9.35141,-2.0137,0.0375021
9.35649,-2.0135,0.0415865
9.36183,-2.01326,0.0452502
9.36743,-2.013,0.0485041
9.37331,-2.01271,0.051368
9.37945,-2.01238,0.0538666
9.38589,-2.01203,0.0560283
9.39263,-2.01165,0.0578829
9.39969,-2.01123,0.059461
9.40709,-2.01079,0.0607927
9.41486,-2.01031,0.061907
9.42303,-2.0098,0.0628316
9.43162,-2.00926,0.0635924
9.44068,-2.00868,0.0642131
9.45026,-2.00806,0.0647156
9.46041,-2.0074,0.0651196
9.47119,-2.0067,0.0654425
9.48269,-2.00594,0.0656999
9.49499,-2.00513,0.0659055
9.50821,-2.00426,0.066071
9.52249,-2.00332,0.0662067
9.538,-2.00229,0.0663212
9.55496,-2.00116,0.066422
9.57365,-1.99992,0.0665155
9.59443,-1.99854,0.0666073
9.61781,-1.99698,0.0667024
9.64451,-1.9952,0.0668062
9.67566,-1.99311,0.0669246
9.71334,-1.99059,0.0670667
9.76354,-1.98722,0.0672566
9.81569,-1.98371,0.0674554
9.8679,-1.98018,0.0676563
9.91889,-1.97672,0.0678543
9.96965,-1.97327,0.0680533
10.0204,-1.96982,0.0682541
10.0711,-1.96635,0.0684568
10.1218,-1.96287,0.0686615
10.1726,-1.95938,0.0688682
10.2234,-1.95588,0.069077
10.2741,-1.95237,0.0692879
10.3249,-1.94884,0.0695009
10.3757,-1.94531,0.0697161
10.4265,-1.94176,0.0699335
10.4773,-1.9382,0.0701532
10.5282,-1.93463,0.0703751
10.579,-1.93104,0.0705994
10.6299,-1.92745,0.0708261
10.6807,-1.92384,0.0710551
10.7316,-1.92022,0.0712867
10.7825,-1.91659,0.0715207
10.8334,-1.91294,0.0717573
10.8843,-1.90928,0.0719965
10.9352,-1.90561,0.0722383
10.9862,-1.90192,0.0724828
11.0371,-1.89822,0.0727301
11.0881,-1.89451,0.0729801
11.1391,-1.89078,0.073233
11.19,-1.88704,0.0734888
11.241,-1.88329,0.0737476
11.2921,-1.87952,0.0740094
11.3431,-1.87574,0.0742743
11.3941,-1.87194,0.0745423
11.4451,-1.86813,0.0748135
11.4962,-1.8643,0.075088
11.5473,-1.86046,0.0753658
11.5983,-1.8566,0.075647
11.6494,-1.85273,0.0759317
11.7005,-1.84884,0.0762199
11.7516,-1.84494,0.0765118
11.8028,-1.84102,0.0768074
11.8539,-1.83709,0.0771067
11.9051,-1.83313,0.0774099
11.9562,-1.82917,0.077717
12.0074,-1.82518,0.0780282
12.0586,-1.82118,0.0783435
12.1098,-1.81716,0.078663
12.161,-1.81312,0.0789868
12.2122,-1.80907,0.079315
12.2634,-1.805,0.0796477
12.3147,-1.80091,0.079985
12.3659,-1.7968,0.080327
12.4172,-1.79267,0.0806739
12.4685,-1.78853,0.0810257
12.5198,-1.78436,0.0813826
12.5711,-1.78018,0.0817447
12.6224,-1.77597,0.0821121
12.6737,-1.77175,0.0824849
12.725,-1.76751,0.0828633
12.7764,-1.76324,0.0832475
12.8277,-1.75896,0.0836375
12.8791,-1.75465,0.0840335
12.9305,-1.75032,0.0844358
12.9819,-1.74597,0.0848443
13.0333,-1.7416,0.0852594
13.0847,-1.7372,0.0856812
13.1362,-1.73278,0.0861098
13.1876,-1.72834,0.0865455
13.2391,-1.72388,0.0869885
13.2906,-1.71939,0.087439
13.342,-1.71487,0.0878971
13.3935,-1.71034,0.0883631
13.445,-1.70577,0.0888372
13.4966,-1.70118,0.0893197
13.5481,-1.69657,0.0898108
13.5997,-1.69192,0.0903108
13.6512,-1.68726,0.09082
13.7028,-1.68256,0.0913386
13.7544,-1.67783,0.0918669
13.806,-1.67308,0.0924053
13.8576,-1.66829,0.092954
13.9092,-1.66348,0.0935134
13.9609,-1.65864,0.0940839
14.0125,-1.65376,0.0946657
14.0642,-1.64886,0.0952594
14.1159,-1.64392,0.0958653
14.1676,-1.63895,0.0964839
14.2193,-1.63394,0.0971155
14.271,-1.6289,0.0977607
14.3227,-1.62383,0.0984199
14.3745,-1.61871,0.0990937
14.4262,-1.61357,0.0997826
14.478,-1.60838,0.100487
14.5298,-1.60316,0.101208
14.5816,-1.59789,0.101946
14.6335,-1.59259,0.102701
14.6853,-1.58725,0.103475
14.7372,-1.58186,0.104268
14.7891,-1.57643,0.10508
14.841,-1.57095,0.105913
14.8929,-1.56543,0.106768
14.9448,-1.55986,0.107646
14.9968,-1.55425,0.108547
15.0488,-1.54858,0.109472
15.1008,-1.54286,0.110423
15.1528,-1.5371,0.111402
15.2048,-1.53127,0.112408
15.2569,-1.52539,0.113444
15.309,-1.51946,0.114511
15.3611,-1.51346,0.115611
15.4132,-1.5074,0.116745
15.4654,-1.50128,0.117916
15.5176,-1.4951,0.119124
15.5698,-1.48885,0.120373
15.622,-1.48252,0.121665
15.6743,-1.47613,0.123001
15.7266,-1.46966,0.124385
15.779,-1.46311,0.12582
15.8313,-1.45648,0.127308
15.8838,-1.44977,0.128853
15.9362,-1.44296,0.130459
15.9887,-1.43607,0.13213
16.0413,-1.42908,0.13387
16.0939,-1.42199,0.135684
16.1465,-1.4148,0.137578
16.1993,-1.4075,0.139557
16.252,-1.40008,0.141628
16.3049,-1.39254,0.143798
16.3578,-1.38487,0.146076
16.4107,-1.37707,0.148469
16.4638,-1.36913,0.150989
16.5169,-1.36103,0.153647
16.5702,-1.35278,0.156454
16.6235,-1.34436,0.159427
16.6769,-1.33575,0.16258
16.7305,-1.32695,0.165934
16.7842,-1.31795,0.169508
16.8381,-1.30872,0.173329
16.892,-1.29925,0.177425
16.9462,-1.28952,0.181828
17.0006,-1.27951,0.186579
17.0551,-1.2692,0.191724
17.1099,-1.25854,0.197317
17.1649,-1.24752,0.203425
17.2202,-1.23609,0.210126
17.2758,-1.22421,0.217517
17.3317,-1.21183,0.225715
17.3879,-1.19889,0.234865
17.4444,-1.18532,0.245147
17.5013,-1.17106,0.256781
17.5585,-1.15601,0.270047
17.6158,-1.14008,0.28529
17.6733,-1.12319,0.302934
17.7307,-1.10524,0.3235
17.7876,-1.08616,0.34761
17.8438,-1.06587,0.375997
17.8986,-1.04434,0.409534
17.9519,-1.0215,0.449281
18.0033,-0.997225,0.496609
18.0528,-0.971301,0.553402
18.1005,-0.943327,0.622427
18.1468,-0.912596,0.708083
18.1927,-0.877738,0.818342
18.2331,-0.842144,0.945855
18.2692,-0.8055,1.09327
18.3015,-0.767604,1.26313
18.3305,-0.72825,1.45818
18.3564,-0.687683,1.67884
18.3797,-0.645717,1.92747
18.4032,-0.596908,2.24165
18.4245,-0.545569,2.59957
18.4439,-0.491388,3.00566
18.4617,-0.43382,3.46624
18.4782,-0.372366,3.98741
18.4935,-0.307312,4.56778
18.5076,-0.238382,5.20935
18.5208,-0.165196,5.91376
18.5332,-0.0872325,6.68216
18.545,-0.00361242,7.51669
18.5565,0.0883152,8.43319
18.5687,0.197263,9.49765
18.5799,0.309903,10.5476
18.5905,0.427272,11.5566
18.6011,0.555044,12.5191
18.6125,0.702662,13.4017
18.6219,0.831678,13.9235
18.6314,0.964859,14.1703
18.6402,1.09007,14.0898
18.6488,1.20983,13.6924
18.6573,1.32286,12.9982
18.666,1.43128,12.0135
18.6753,1.53733,10.7227
18.6844,1.62908,9.32517
18.6927,1.70069,8.04248
18.7009,1.76211,6.80092
18.7104,1.82012,5.50286
18.7176,1.85662,4.62085
18.7242,1.88461,3.90898
18.7308,1.90827,3.2822
18.737,1.92689,2.77194
18.7428,1.94188,2.34957
18.7485,1.95415,1.99575
18.754,1.96428,1.69724
18.7594,1.97272,1.44422
18.7646,1.97976,1.22905
18.7698,1.98567,1.04565
18.775,1.99063,0.889038
18.78,1.99479,0.755128
18.7851,1.99829,0.640506
18.7901,2.00124,0.542311
18.795,2.0037,0.458133
18.7999,2.00577,0.385934
18.8048,2.00749,0.323983
18.8096,2.00893,0.270809
18.8144,2.01011,0.225159
18.8192,2.01109,0.185964
18.8239,2.01188,0.15231
18.8285,2.01252,0.123417
18.8331,2.01303,0.0986184
18.8376,2.01343,0.0773449
18.8421,2.01373,0.0591108
18.8465,2.01396,0.0435034
18.8507,2.01411,0.0301743
18.8548,2.01421,0.0188341
18.8588,2.01427,0.0092513
18.8621,2.01428,0.00204139
18.8654,2.01428,-0.00447474
18.8683,2.01426,-0.00980328
18.8718,2.01421,-0.0154474
