t,x,v
1.76,1.87899,-0.0740463
1.77,1.87825,-0.074098
1.78,1.87751,-0.0741499
1.79,1.87677,-0.0742019
1.8,1.87603,-0.074254
1.81,1.87528,-0.0743062
1.82,1.87454,-0.0743586
1.83,1.8738,-0.074411
1.84,1.87305,-0.0744636
1.85,1.87231,-0.0745163
1.86,1.87156,-0.0745692
1.87,1.87081,-0.0746221
1.88,1.87007,-0.0746752
1.89,1.86932,-0.0747284
1.9,1.86857,-0.0747817
1.91,1.86783,-0.0748351
1.92,1.86708,-0.0748887
1.93,1.86633,-0.0749424
1.94,1.86558,-0.0749962
1.95,1.86483,-0.0750501
1.96,1.86408,-0.0751041
1.97,1.86333,-0.0751583
1.98,1.86257,-0.0752126
1.99,1.86182,-0.0752671
2,1.86107,-0.0753216
2.01,1.86032,-0.0753763
2.02,1.85956,-0.0754311
2.03,1.85881,-0.0754861
2.04,1.85805,-0.0755412
2.05,1.8573,-0.0755964
2.06,1.85654,-0.0756517
2.07,1.85578,-0.0757072
2.08,1.85503,-0.0757628
2.09,1.85427,-0.0758185
2.1,1.85351,-0.0758743
2.11,1.85275,-0.0759303
2.12,1.85199,-0.0759865
2.13,1.85123,-0.0760427
2.14,1.85047,-0.0760991
2.15,1.84971,-0.0761556
2.16,1.84895,-0.0762123
2.17,1.84818,-0.0762691
2.18,1.84742,-0.076326
2.19,1.84666,-0.0763831
2.2,1.84589,-0.0764403
2.21,1.84513,-0.0764977
2.22,1.84436,-0.0765552
2.23,1.8436,-0.0766128
2.24,1.84283,-0.0766706
2.25,1.84206,-0.0767285
2.26,1.8413,-0.0767865
2.27,1.84053,-0.0768447
2.28,1.83976,-0.0769031
2.29,1.83899,-0.0769615
2.3,1.83822,-0.0770201
2.31,1.83745,-0.0770789
2.32,1.83668,-0.0771378
2.33,1.83591,-0.0771969
2.34,1.83513,-0.0772561
2.35,1.83436,-0.0773154
2.36,1.83359,-0.0773749
2.37,1.83281,-0.0774345
2.38,1.83204,-0.0774943
2.39,1.83126,-0.0775543
2.4,1.83049,-0.0776144
2.41,1.82971,-0.0776746
2.42,1.82894,-0.077735
2.43,1.82816,-0.0777955
2.44,1.82738,-0.0778562
2.45,1.8266,-0.0779171
2.46,1.82582,-0.0779781
2.47,1.82504,-0.0780392
2.48,1.82426,-0.0781005
2.49,1.82348,-0.078162
2.5,1.8227,-0.0782236
2.51,1.82191,-0.0782854
2.52,1.82113,-0.0783473
2.53,1.82035,-0.0784094
2.54,1.81956,-0.0784716
2.55,1.81878,-0.078534
2.56,1.81799,-0.0785966
2.57,1.81721,-0.0786593
2.58,1.81642,-0.0787222
2.59,1.81563,-0.0787853
2.6,1.81484,-0.0788485
2.61,1.81405,-0.0789119
2.62,1.81327,-0.0789754
2.63,1.81248,-0.0790391
2.64,1.81168,-0.079103
2.65,1.81089,-0.079167
2.66,1.8101,-0.0792312
2.67,1.80931,-0.0792956
2.68,1.80852,-0.0793601
2.69,1.80772,-0.0794248
2.7,1.80693,-0.0794897
2.71,1.80613,-0.0795548
2.72,1.80534,-0.07962
2.73,1.80454,-0.0796854
2.74,1.80374,-0.079751
2.75,1.80294,-0.0798167
2.76,1.80215,-0.0798826
2.77,1.80135,-0.0799487
2.78,1.80055,-0.080015
2.79,1.79975,-0.0800814
2.8,1.79895,-0.0801481
2.81,1.79814,-0.0802149
2.82,1.79734,-0.0802818
2.83,1.79654,-0.080349
2.84,1.79573,-0.0804163
2.85,1.79493,-0.0804839
2.86,1.79412,-0.0805516
2.87,1.79332,-0.0806195
2.88,1.79251,-0.0806875
2.89,1.7917,-0.0807558
2.9,1.7909,-0.0808243
2.91,1.79009,-0.0808929
2.92,1.78928,-0.0809617
2.93,1.78847,-0.0810307
2.94,1.78766,-0.0810999
2.95,1.78685,-0.0811693
2.96,1.78603,-0.0812389
2.97,1.78522,-0.0813087
2.98,1.78441,-0.0813786
2.99,1.78359,-0.0814488
3,1.78278,-0.0815191
3.01,1.78196,-0.0815897
3.02,1.78115,-0.0816604
3.03,1.78033,-0.0817314
3.04,1.77951,-0.0818025
3.05,1.77869,-0.0818739
3.06,1.77788,-0.0819454
3.07,1.77706,-0.0820172
3.08,1.77624,-0.0820891
3.09,1.77541,-0.0821613
3.1,1.77459,-0.0822336
3.11,1.77377,-0.0823062
3.12,1.77295,-0.0823789
3.13,1.77212,-0.0824519
3.14,1.7713,-0.0825251
3.15,1.77047,-0.0825985
3.16,1.76965,-0.0826721
3.17,1.76882,-0.0827459
3.18,1.76799,-0.0828199
3.19,1.76716,-0.0828942
3.2,1.76633,-0.0829686
3.21,1.7655,-0.0830433
3.22,1.76467,-0.0831182
3.23,1.76384,-0.0831933
3.24,1.76301,-0.0832686
3.25,1.76217,-0.0833441
3.26,1.76134,-0.0834199
3.27,1.76051,-0.0834959
3.28,1.75967,-0.0835721
3.29,1.75883,-0.0836485
3.3,1.758,-0.0837251
3.31,1.75716,-0.083802
3.32,1.75632,-0.0838791
3.33,1.75548,-0.0839565
3.34,1.75464,-0.084034
3.35,1.7538,-0.0841118
3.36,1.75296,-0.0841899
3.37,1.75212,-0.0842681
3.38,1.75127,-0.0843466
3.39,1.75043,-0.0844253
3.4,1.74959,-0.0845043
3.41,1.74874,-0.0845835
3.42,1.74789,-0.0846629
3.43,1.74705,-0.0847426
3.44,1.7462,-0.0848225
3.45,1.74535,-0.0849027
3.46,1.7445,-0.0849831
