t,x_euler,v_euler,E_euler,x_rk4,v_rk4,E_rk4,x_verlet,v_verlet,E_verlet,x_true,v_true,E_true
4,-0.809738,0.912791,0.744432,-0.653646,0.7568,0.5,-0.65238,0.756944,0.499282,-0.653644,0.756802,0.5
4.1,-0.718459,0.993765,0.751876,-0.574827,0.818275,0.5,-0.573424,0.818234,0.499161,-0.574824,0.818277,0.5
4.2,-0.619083,1.06561,0.759395,-0.490264,0.871574,0.5,-0.488733,0.871342,0.499049,-0.490261,0.871576,0.5
4.3,-0.512522,1.12752,0.766989,-0.400802,0.916164,0.5,-0.399155,0.915737,0.498949,-0.400799,0.916166,0.5
4.4,-0.39977,1.17877,0.774659,-0.307336,0.951601,0.5,-0.305586,0.950974,0.498867,-0.307333,0.951602,0.5
4.5,-0.281892,1.21875,0.782405,-0.210799,0.977529,0.5,-0.20896,0.976701,0.498805,-0.210796,0.97753,0.5
4.6,-0.160018,1.24694,0.790229,-0.112156,0.99369,0.5,-0.110246,0.992661,0.498765,-0.112153,0.993691,0.5
4.7,-0.0353239,1.26294,0.798132,-0.0123926,0.999923,0.5,-0.0104283,0.998695,0.49875,-0.0123887,0.999923,0.5
4.8,0.09097,1.26647,0.806113,0.087495,0.996165,0.5,0.0894934,0.994742,0.49876,0.087499,0.996165,0.5
4.9,0.217617,1.25737,0.814174,0.186508,0.982453,0.5,0.18852,0.980841,0.498794,0.186512,0.982453,0.5
5,0.343355,1.23561,0.822316,0.283658,0.958925,0.5,0.285662,0.957132,0.498852,0.283662,0.958924,0.5
5.1,0.466916,1.20128,0.830539,0.377974,0.925816,0.5,0.379946,0.923851,0.49893,0.377978,0.925815,0.5
5.2,0.587044,1.15459,0.838844,0.468513,0.883456,0.5,0.470432,0.881333,0.499027,0.468517,0.883455,0.5
5.3,0.702502,1.09588,0.847233,0.55437,0.83227,0.5,0.556213,0.83,0.499137,0.554374,0.832267,0.5
5.4,0.81209,1.02563,0.855705,0.634689,0.772767,0.5,0.636432,0.770368,0.499256,0.634693,0.772764,0.5
5.5,0.914654,0.944422,0.864262,0.708666,0.705543,0.5,0.710287,0.703032,0.499381,0.70867,0.70554,0.5
5.6,1.0091,0.852957,0.872905,0.775563,0.63127,0.5,0.777038,0.628666,0.499505,0.775566,0.631267,0.5
5.7,1.09439,0.752047,0.881634,0.83471,0.550689,0.5,0.83602,0.548013,0.499624,0.834713,0.550686,0.5
5.8,1.1696,0.642608,0.89045,0.885517,0.464606,0.5,0.886641,0.46188,0.499733,0.88552,0.464602,0.5
5.9,1.23386,0.525649,0.899355,0.927476,0.373881,0.5,0.928396,0.371128,0.499827,0.927478,0.373877,0.5
6,1.28642,0.402263,0.908348,0.960168,0.27942,0.5,0.960867,0.276665,0.499904,0.96017,0.279415,0.5
6.1,1.32665,0.273621,0.917432,0.983267,0.182167,0.5,0.983729,0.179435,0.49996,0.983268,0.182163,0.5
6.2,1.35401,0.140956,0.926606,0.996541,0.0830945,0.5,0.996754,0.0804111,0.499992,0.996542,0.0830894,0.5
6.3,1.36811,0.00555481,0.935872,0.999858,-0.0168087,0.5,0.999811,-0.0194171,0.5,0.999859,-0.0168139,0.5
6.4,1.36866,-0.131256,0.945231,0.993185,-0.116544,0.5,0.99287,-0.119051,0.499982,0.993185,-0.116549,0.5
6.5,1.35554,-0.268122,0.954683,0.976588,-0.215115,0.5,0.976001,-0.217495,0.499941,0.976588,-0.21512,0.5
6.6,1.32872,-0.403675,0.96423,0.950234,-0.311536,0.5,0.949371,-0.313763,0.499877,0.950233,-0.311541,0.5
6.7,1.28836,-0.536548,0.973872,0.914385,-0.404845,0.5,0.913248,-0.406894,0.499793,0.914383,-0.40485,0.5
6.8,1.2347,-0.665383,0.983611,0.8694,-0.494108,0.5,0.867992,-0.495956,0.499692,0.869397,-0.494113,0.5
6.9,1.16816,-0.788854,0.993447,0.815728,-0.578435,0.5,0.814057,-0.580059,0.499578,0.815725,-0.57844,0.5
7,1.08928,-0.90567,1.00338,0.753906,-0.656982,0.5,0.751981,-0.658361,0.499457,0.753902,-0.656987,0.5
7.1,0.998711,-1.0146,1.01342,0.684551,-0.728965,0.5,0.682385,-0.730079,0.499332,0.684547,-0.728969,0.5
7.2,0.897251,-1.11447,1.02355,0.608356,-0.793664,0.5,0.605965,-0.794496,0.499209,0.608351,-0.793668,0.5
7.3,0.785804,-1.20419,1.03379,0.526082,-0.850433,0.499999,0.523485,-0.850969,0.499093,0.526078,-0.850437,0.5
7.4,0.665385,-1.28277,1.04412,0.438553,-0.898705,0.499999,0.435771,-0.898932,0.498987,0.438547,-0.898708,0.5
7.5,0.537107,-1.34931,1.05456,0.346641,-0.937997,0.499999,0.343699,-0.937905,0.498898,0.346635,-0.938,0.5
